Precinct,GREG CONLON,FIONA MA
LFET116,360,599
LFET117,303,775
MARC801,98,60
MARC802,14,3
MARC803,14,7
MART101,91,360
MART103,78,234
MART104,188,596
MART106,84,281
MART107,263,471
MART108,275,482
MART109,202,496
MART110,148,323
MART111,340,668
MART112,169,447
MART114,144,305
MART115,200,405
MART116,106,276
MART117,171,280
MART118,209,398
MART120,204,579
MART125,117,390
MART126 0,109,235
MART801,0,2
MART802,85,79
MART803,24,27
MART804,38,97
MART805,38,77
MART806 0,24,71
MART807 0,11,50
MART808 0,33,95
MART809 0,1,5
MART810 0,20,59
MART811 0,23,82
MART812 0,5,20
MART813 0,27,82
MART814 0,0,6
MART815 0,35,52
MART816 0,7,22
MART817 0,9,26
MART818 0,42,100
MART819 0,11,17
MART820 0,24,62
MART821 0,64,75
MART822 0,47,111
MART823 0,7,14
MART824 0,7,10
MART825 0,8,11
MART826 0,66,71
MART827 0,0,0
MART828 0,10,17
MART829 0,2,1
MART830 0,31,114
MART831 0,54,169
MART832 0,65,172
MART833 0,34,160
MART834 0,107,192
MART835 0,59,165
MART836 0,68,157
MART837 0,25,95
MART838 0,18,57
MART839 0,81,149
MART840 0,49,146
MART841 0,56,204
MART842 0,89,142
MART843 0,81,124
MART844 0,83,163
MART845 0,0,10
MART846 0,104,238
MART847 0,103,204
MART848 0,38,93
MART849 0,73,128
MART850 0,106,222
MDIA101,149,183
MDIA801,2,4
MDIA802,2,2
MORG101,324,874
MORG102,197,553
MORG103,347,677
MORG104,390,754
MORG105,337,727
MORG106,362,678
MORG107,435,778
MORG108,274,530
MVIE101,131,277
MVIE102,154,332
MVIE801 0,0,0
MVIE802 0,4,3
NCYN101,184,259
NICH801,3,3
NRIC101,69,473
NRTV801,5,2
NRTV802,8,2
OKLY101,252,321
OKLY102,252,387
OKLY103,273,413
OKLY104,267,690
OKLY105,235,401
OKLY106,379,417
OKLY107,155,244
OKLY108,192,296
OKLY109,176,293
OKLY110,301,356
OKLY111,232,256
OKLY112,219,260
OKLY113,329,623
OKLY114,340,411
OKLY115,223,392
OKLY116,319,471
OKLY117,206,299
OKLY118,123,229
OKLY119,150,255
OKLY801,2,1
OLEU801,4,3
OLEU802,8,7
ORDA101,314,970
ORDA102,157,422
ORDA103,272,553
ORDA104,148,345
ORDA105,289,676
ORDA106,283,818
ORDA107,287,807
ORDA108,345,715
ORDA109,277,428
ORDA110,131,250
ORDA111,247,849
ORDA112,290,537
ORDA113,96,248
ORDA801,0,3
PACH101,276,628
PACH102,160,329
PACH801,3,0
PACH802,33,53
PACH803,2,0
PINL102,129,459
PINL103,100,536
PINL104,114,383
PINL105,120,584
PINL106,117,433
PINL107,108,392
PINL108,163,570
PINL109,105,374
PINL110,219,616
PINL111,175,587
PINL112,238,586
PINL801,6,11
PINL802,45,119
PINL803,7,47
PLHL101,163,528
PLHL102,156,401
PLHL103,178,400
PLHL104,341,756
PLHL105,213,457
PLHL106,281,656
PLHL107,285,614
PLHL108,293,655
PLHL109,186,655
PLHL110,268,523
PLHL111,273,557
PLHL112,167,455
PLHL113,213,625
PLHL114,264,695
PLHL115,237,687
PLHL116,176,496
PLHL117,179,553
PLHL118,173,493
PLHL119,189,508
PRCO801,29,92
PTTS101,173,526
PTTS102,141,399
PTTS103,110,400
PTTS104,133,476
PTTS105,72,214
PTTS106,144,425
PTTS107,182,485
PTTS108,78,529
PTTS109,89,406
PTTS110,96,414
PTTS111,151,396
PTTS112,97,397
PTTS113,73,375
PTTS114,139,478
PTTS115,175,475
PTTS116,115,340
PTTS117,137,286
PTTS118,129,391
PTTS119,126,332
PTTS120,109,296
PTTS121,74,326
PTTS122,78,319
PTTS123,59,263
PTTS124,48,295
PTTS125,76,487
PTTS126,67,404
PTTS127,66,325
PTTS128,94,505
PTTS129,137,625
PTTS130,108,330
PTTS131,103,415
PTTS132,167,519
PTTS133,103,352
PTTS134,89,373
PTTS135,75,325
PTTS801,1,2
PTTS802,0,0
RICH101,96,719
RICH102,58,438
RICH103,121,561
RICH104,102,853
RICH105,109,968
RICH106,75,689
RICH107,22,164
RICH108,47,673
RICH109,28,317
RICH110,36,440
RICH111,32,311
RICH112,42,467
RICH113,60,597
RICH114,48,538
RICH115,33,478
RICH116,17,261
RICH117,38,420
RICH118,58,473
RICH119,37,377
RICH120,41,309
RICH121,22,159
RICH122,95,761
RICH123,83,805
RICH124,52,472
RICH125,76,493
RICH126,64,461
RICH127,52,430
RICH128,78,541
RICH129,39,361
RICH130,35,393
RICH131,64,406
RICH132,94,492
RICH133,48,480
RICH134,30,361
RICH135,40,415
RICH136,31,361
RICH137,67,519
RICH138,117,321
RICH139,170,777
RICH140,59,331
RICH141,104,485
RICH142,187,797
RICH143,79,818
RICH144,87,701
RICH145,72,884
RICH146,9,164
RICH147,37,376
RICH148,23,102
RICH149,24,257
RICH150,36,278
RICH151,50,355
RICH152,48,321
RICH153,24,306
RICH154,47,438
RICH155,44,422
RICH156,58,354
RICH801,5,17
RICH802,3,33
RICH803,30,134
RICH804,27,99
RICH805,3,75
RICH806,20,106
RICH807,0,0
