Precinct,RICARDO LARA,STEVE POIZNER
HERC104,434,226
HERC105,268,204
HERC106,401,248
HERC107,517,222
HERC108,384,216
HERC109,526,225
HERC110,356,193
HERC111,364,234
HERC113,533,269
HERC114,411,146
KENS101,366,210
KENS102,477,237
KENS103,738,334
KENS104,581,298
KENS801,0,0
KENS802,1,0
KNGT101,153,406
KNGT801,14,21
KNGT802,1,6
KNGT803,30,38
KNGT804,28,32
LAST801,6,34
LFET101,328,579
LFET102,280,435
LFET103,307,391
LFET104,379,393
LFET105,290,411
LFET106,298,348
LFET107,470,503
LFET108,587,432
LFET109,569,535
LFET110,273,319
LFET111,294,441
LFET112,122,207
LFET113,307,448
LFET114,267,423
LFET115,292,359
LFET116,348,597
LFET117,461,597
MARC801,46,108
MARC802,7,14
MARC803,5,14
MART101,266,173
MART103,167,133
MART104,445,342
MART106,234,130
MART107,334,384
MART108,345,390
MART109,350,323
MART110,248,215
MART111,473,522
MART112,305,292
MART114,227,211
MART115,278,294
MART116,213,164
MART117,183,261
MART118,275,305
MART120,411,360
MART125,299,205
MART126 0,147,183
MART801,1,1
MART802,50,104
MART803,18,31
MART804,63,70
MART805,51,64
MART806 0,53,36
MART807 0,37,23
MART808 0,73,52
MART809 0,4,3
MART810 0,41,36
MART811 0,60,43
MART812 0,17,8
MART813 0,66,45
MART814 0,5,1
MART815 0,44,43
MART816 0,17,13
MART817 0,20,15
MART818 0,76,63
MART819 0,12,16
MART820 0,46,37
MART821 0,57,81
MART822 0,81,69
MART823 0,10,10
MART824 0,9,10
MART825 0,4,15
MART826 0,36,93
MART827 0,0,0
MART828 0,12,15
MART829 0,1,2
MART830 0,91,51
MART831 0,127,93
MART832 0,129,103
MART833 0,122,67
MART834 0,139,154
MART835 0,137,75
MART836 0,113,108
MART837 0,71,46
MART838 0,49,24
MART839 0,110,110
MART840 0,100,91
MART841 0,143,114
MART842 0,111,117
MART843 0,67,135
MART844 0,125,119
MART845 0,7,3
MART846 0,159,168
MART847 0,146,152
MART848 0,67,64
MART849 0,82,110
MART850 0,157,166
MDIA101,109,213
MDIA801,4,2
MDIA802,1,3
MORG101,520,675
MORG102,406,328
MORG103,403,596
MORG104,435,683
MORG105,438,604
MORG106,386,627
MORG107,455,720
MORG108,324,452
MVIE101,213,184
MVIE102,263,208
MVIE801 0,0,0
MVIE802 0,3,2
NCYN101,191,233
NICH801,1,4
NRIC101,420,121
NRTV801,2,3
NRTV802,2,4
OKLY101,266,303
OKLY102,292,341
OKLY103,326,344
OKLY104,577,367
OKLY105,325,287
OKLY106,345,418
OKLY107,195,197
OKLY108,252,229
OKLY109,261,201
OKLY110,269,362
OKLY111,211,260
OKLY112,203,271
OKLY113,499,435
OKLY114,307,419
OKLY115,316,282
OKLY116,376,401
OKLY117,257,240
OKLY118,179,163
OKLY119,208,194
OKLY801,1,2
OLEU801,2,5
OLEU802,4,9
ORDA101,612,632
ORDA102,227,335
ORDA103,347,471
ORDA104,180,289
ORDA105,420,531
ORDA106,503,570
ORDA107,483,580
ORDA108,389,635
ORDA109,218,461
ORDA110,122,241
ORDA111,564,492
ORDA112,312,495
ORDA113,150,187
ORDA801,3,0
PACH101,451,430
