Precinct,CHERYL HANSEN,LYNN MACKEY
DANV119,313,659
DANV120,295,475
DANV121,153,276
DANV122,213,311
DANV123,192,345
DANV124,143,235
DANV125,83,198
DANV126,294,608
DANV127,214,302
DANV128,150,288
DANV129,272,479
DANV130,197,323
DBAY101,434,481
DBAY102,392,355
DBAY103,173,216
DBAY104,346,432
DBAY105,139,128
DBAY106,430,485
DBAY107,269,364
DBAY801,56,52
DIAB101,180,285
ELCR101,222,667
ELCR102,266,605
ELCR103,199,326
ELCR104,251,637
ELCR105,185,478
ELCR106,170,342
ELCR107,158,371
ELCR108,168,443
ELCR109,222,577
ELCR110,209,605
ELCR111,181,480
ELCR112,179,373
ELCR113,218,739
ELCR114,143,385
ELCR115,165,261
ELSO101,293,322
ELSO102,286,391
ELSO103,191,248
ELSO104,253,306
ELSO105,343,379
ELSO106,246,297
ELSO107,110,183
ELSO801,0,0
ELSO802,46,84
ELSO803,5,8
ERIC101,267,535
ERIC102,268,559
ERIC103,114,184
ERIC801,10,21
FAIR801,0,1
GIAN101,256,204
GIAN102,193,171
GIAN103,260,292
GIAN104,308,343
GIAN105,174,235
HERC101,341,477
HERC102,363,490
HERC103,222,206
HERC104,284,294
HERC105,199,209
HERC106,255,325
HERC107,297,351
HERC108,251,296
HERC109,299,337
HERC110,236,260
HERC111,247,277
HERC113,318,398
HERC114,247,271
KENS101,104,372
KENS102,157,422
KENS103,218,639
KENS104,185,543
KENS801,0,0
KENS802,0,1
KNGT101,267,223
KNGT801,20,10
KNGT802,3,2
KNGT803,26,28
KNGT804,24,27
LAST801,15,12
LFET101,234,520
LFET102,195,379
LFET103,177,394
LFET104,242,425
LFET105,203,390
LFET106,183,342
LFET107,224,572
LFET108,262,573
LFET109,309,588
LFET110,166,333
LFET111,188,441
LFET112,86,190
LFET113,201,433
LFET114,189,383
LFET115,177,365
LFET116,256,532
LFET117,296,622
MARC801,75,67
MARC802,5,7
MARC803,2,13
MART101,141,243
MART103,107,148
MART104,305,374
MART106,151,177
MART107,285,352
MART108,257,416
MART109,269,365
MART110,190,229
MART111,373,497
MART112,213,303
MART114,205,181
MART115,245,269
MART116,140,183
MART117,155,234
MART118,204,318
MART120,276,394
MART125,213,238
MART126 0,143,158
MART801,0,1
MART802,56,62
MART803,24,20
MART804,45,80
MART805,38,63
MART806 0,34,53
MART807 0,19,36
MART808 0,42,68
MART809 0,0,6
MART810 0,25,41
MART811 0,41,46
MART812 0,8,14
MART813 0,35,66
MART814 0,0,4
MART815 0,30,53
MART816 0,4,23
MART817 0,8,22
MART818 0,38,79
MART819 0,16,6
MART820 0,32,47
MART821 0,44,67
MART822 0,55,76
MART823 0,6,13
MART824 0,4,13
MART825 0,7,12
MART826 0,47,57
MART827 0,0,0
MART828 0,2,23
MART829 0,1,1
MART830 0,58,71
MART831 0,75,125
MART832 0,94,115
MART833 0,80,102
MART834 0,127,134
MART835 0,70,117
MART836 0,56,134
MART837 0,53,54
MART838 0,24,40
MART839 0,96,106
MART840 0,77,104
MART841 0,100,121
MART842 0,106,94
MART843 0,69,100
MART844 0,90,125
MART845 0,5,5
MART846 0,127,171
MART847 0,112,150
MART848 0,51,65
MART849 0,68,108
MART850 0,128,166
MDIA101,89,174
MDIA801,3,2
MDIA802,2,2
MORG101,353,657
MORG102,235,364
MORG103,267,547
MORG104,300,627
MORG105,293,566
MORG106,239,587
MORG107,346,646
MORG108,215,434
MVIE101,181,177
MVIE102,183,224
MVIE801 0,0,0
MVIE802 0,0,5
NCYN101,152,223
NICH801,4,1
NRIC101,246,236
NRTV801,3,2
NRTV802,3,2
OKLY101,250,242
OKLY102,272,285
OKLY103,326,284
OKLY104,399,421
OKLY105,263,290
OKLY106,326,350
OKLY107,176,193
OKLY108,228,212
OKLY109,217,195
OKLY110,293,266
OKLY111,225,186
OKLY112,205,202
OKLY113,408,430
OKLY114,327,308
OKLY115,246,285
OKLY116,340,336
OKLY117,230,226
OKLY118,146,151
OKLY119,160,189
OKLY801,0,3
OLEU801,1,3
OLEU802,10,2
ORDA101,301,706
ORDA102,177,287
ORDA103,242,412
ORDA104,134,251
ORDA105,229,550
ORDA106,227,644
ORDA107,271,599
ORDA108,268,545
ORDA109,169,373
ORDA110,97,192
ORDA111,296,591
ORDA112,223,406
ORDA113,90,186
ORDA801,2,0
PACH101,372,397
PACH102,225,200
PACH801,3,0
PACH802,19,54
PACH803,2,0
PINL102,231,276
PINL103,273,304
PINL104,208,236
PINL105,270,358
PINL106,205,290
PINL107,183,252
PINL108,303,358
PINL109,206,204
PINL110,281,435
PINL111,307,367
PINL112,300,417
PINL801,3,12
PINL802,60,84
PINL803,18,31
PLHL101,259,325
PLHL102,198,257
PLHL103,212,278
PLHL104,378,572
PLHL105,216,350
PLHL106,276,511
PLHL107,300,445
PLHL108,398,410
PLHL109,283,448
PLHL110,268,439
PLHL111,330,377
PLHL112,190,336
PLHL113,333,379
PLHL114,313,518
PLHL115,297,482
PLHL116,248,311
PLHL117,282,354
PLHL118,233,336
PLHL119,260,338
PRCO801,45,52
PTTS101,295,310
PTTS102,227,242
PTTS103,212,230
PTTS104,277,257
PTTS105,139,119
PTTS106,227,266
PTTS107,292,305
PTTS108,266,270
PTTS109,233,208
PTTS110,245,217
PTTS111,232,254
PTTS112,234,202
PTTS113,220,180
PTTS114,261,300
PTTS115,296,295
PTTS116,199,210
PTTS117,161,218
PTTS118,236,218
PTTS119,202,214
PTTS120,191,176
PTTS121,168,195
PTTS122,207,156
PTTS123,157,142
PTTS124,147,164
PTTS125,245,276
PTTS126,213,201
PTTS127,158,185
PTTS128,295,251
PTTS129,321,370
PTTS130,229,167
PTTS131,234,227
PTTS132,317,307
PTTS133,212,199
PTTS134,208,207
PTTS135,172,187
PTTS801,2,1
PTTS802,0,0
RICH101,192,451
RICH102,128,298
RICH103,164,373
RICH104,255,531
RICH105,289,605
RICH106,298,354
RICH107,64,93
RICH108,209,409
RICH109,125,194
RICH110,168,233
RICH111,122,178
RICH112,182,282
RICH113,255,336
RICH114,261,278
RICH115,222,239
RICH116,125,131
RICH117,224,194
RICH118,238,239
RICH119,190,205
RICH120,155,166
RICH121,96,75
