Precinct,JOHN H. COX,GAVIN NEWSOM
MART840 0,53,146
MART841 0,56,204
MART842 0,94,142
MART843 0,90,119
MART844 0,88,164
MART845 0,0,10
MART846 0,112,240
MART847 0,110,206
MART848 0,43,95
MART849 0,84,123
MART850 0,112,221
MDIA101,162,177
MDIA801,2,4
MDIA802,2,2
MORG101,368,878
MORG102,213,558
MORG103,365,683
MORG104,421,751
MORG105,350,748
MORG106,377,702
MORG107,461,793
MORG108,287,542
MVIE101,145,273
MVIE102,174,325
MVIE801 0,0,0
MVIE802 0,2,4
NCYN101,180,271
NICH801,4,2
NRIC101,66,499
NRTV801,5,2
NRTV802,6,3
OKLY101,275,311
OKLY102,299,367
OKLY103,328,380
OKLY104,323,659
OKLY105,267,379
OKLY106,427,391
OKLY107,177,230
OKLY108,210,301
OKLY109,187,289
OKLY110,347,324
OKLY111,260,240
OKLY112,250,243
OKLY113,396,579
OKLY114,421,357
OKLY115,247,376
OKLY116,376,439
OKLY117,227,293
OKLY118,134,229
OKLY119,174,236
OKLY801,2,1
OLEU801,4,4
OLEU802,10,6
ORDA101,328,989
ORDA102,160,429
ORDA103,282,571
ORDA104,164,344
ORDA105,298,704
ORDA106,287,834
ORDA107,304,821
ORDA108,350,733
ORDA109,261,468
ORDA110,123,266
ORDA111,258,874
ORDA112,293,557
ORDA113,95,262
ORDA801,0,3
PACH101,310,624
PACH102,198,318
PACH801,3,0
PACH802,39,51
PACH803,2,0
PINL102,144,447
PINL103,126,530
PINL104,137,385
PINL105,156,568
PINL106,150,424
PINL107,135,380
PINL108,196,554
PINL109,123,374
PINL110,253,592
PINL111,234,556
PINL112,286,564
PINL801,10,7
PINL802,46,127
PINL803,10,46
PLHL101,182,530
PLHL102,180,405
PLHL103,199,394
PLHL104,383,759
PLHL105,229,464
PLHL106,312,661
PLHL107,305,624
PLHL108,336,640
PLHL109,221,641
PLHL110,291,523
PLHL111,299,556
PLHL112,185,457
PLHL113,230,642
PLHL114,303,690
PLHL115,260,699
PLHL116,204,507
PLHL117,202,555
PLHL118,175,510
PLHL119,204,511
PRCO801,30,93
PTTS101,193,520
PTTS102,158,390
PTTS103,136,383
PTTS104,139,493
PTTS105,87,203
PTTS106,160,419
PTTS107,211,471
PTTS108,91,533
PTTS109,89,409
PTTS110,118,415
PTTS111,183,383
PTTS112,121,393
PTTS113,103,360
PTTS114,170,460
PTTS115,199,481
PTTS116,132,335
PTTS117,159,280
PTTS118,151,390
PTTS119,146,320
PTTS120,112,306
PTTS121,89,322
PTTS122,83,327
PTTS123,63,264
PTTS124,52,297
PTTS125,84,484
PTTS126,82,407
PTTS127,66,333
PTTS128,109,499
PTTS129,152,632
PTTS130,112,338
PTTS131,111,419
PTTS132,201,509
PTTS133,119,347
PTTS134,101,374
PTTS135,93,330
PTTS801,2,2
PTTS802,0,0
RICH101,100,739
RICH102,65,447
RICH103,125,566
RICH104,109,853
RICH105,128,974
RICH106,81,713
RICH107,30,161
RICH108,68,666
RICH109,28,330
RICH110,50,437
RICH111,31,330
RICH112,48,481
RICH113,68,619
RICH114,48,552
RICH115,45,485
RICH116,22,266
RICH117,40,443
RICH118,54,506
RICH119,34,391
RICH120,33,324
RICH121,19,171
RICH122,109,767
RICH123,94,809
RICH124,62,469
RICH125,94,492
RICH126,89,444
RICH127,77,426
RICH128,81,552
RICH129,38,379
RICH130,39,414
RICH131,69,416
RICH132,119,483
RICH133,50,487
RICH134,44,366
RICH135,41,429
RICH136,29,379
RICH137,86,522
RICH138,129,323
RICH139,180,783
RICH140,71,323
RICH141,133,475
RICH142,199,809
RICH143,88,847
RICH144,109,686
RICH145,89,884
RICH146,11,179
RICH147,40,382
RICH148,22,113
RICH149,20,268
RICH150,49,278
RICH151,71,342
RICH152,56,325
RICH153,31,309
RICH154,50,449
RICH155,52,440
RICH156,75,352
RICH801,6,18
RICH802,3,33
RICH803,42,126
RICH804,25,108
RICH805,4,75
RICH806,26,102
RICH807,0,0
RODO101,175,444
RODO102,180,535
RODO103,261,565
RODO104,169,483
ROLL101,106,538
SARA101,122,366
SARA102,182,721
SARA103,238,658
SARA105,145,385
SARA106,211,461
SARA801,0,2
SARA802,52,115
SHEL101,65,98
SHEL102,98,276
SPAB101,78,776
SPAB102,56,305
SPAB103,68,364
SPAB104,67,476
SPAB105,61,348
SPAB106,103,695
SPAB107,104,522
SPAB108,72,441
SPAB109,60,380
SPAB110,95,522
SRAM101,230,427
SRAM102,249,580
SRAM103,365,452
SRAM104,315,465
SRAM105,222,376
SRAM106,310,495
SRAM107,320,479
SRAM108,258,567
SRAM109,278,506
SRAM110,324,426
SRAM111,378,649
SRAM112,347,527
SRAM113,310,435
SRAM114,247,322
SRAM115,335,561
SRAM116,295,413
SRAM117,381,683
SRAM118,218,388
SRAM119,179,379
SRAM120,360,444
SRAM121,202,209
SRAM122,168,506
SRAM123,204,621
SRAM124,106,331
SRAM125,272,396
SRAM126,225,418
SRAM127,74,229
SRAM128,281,628
SRAM129,231,292
SRAM130,219,364
SRAM131,129,390
SRAM132,226,449
SRAM133,229,568
SRAM134,153,436
SRAM135,127,369
SRAM136,205,300
SRAM137,188,539
SRAM138,144,370
SRAM139,149,336
SRAM140,139,387
SRAM141,228,382
SRAM142,132,357
SRAM801,0,0
STMY801,59,69
TASJ101,144,93
TASJ801,1,0
TASJ802,74,54
TASJ803,25,12
TASJ804,23,69
TESO801,0,0
VIER801,8,3
VINE101,291,450
VINE102,135,262
VINE801,56,52
VINE802,36,50
VINE803 0,4,15
WALD101,186,487
WALD102,276,868
WALD103,135,471
WALD801,12,75
WLCR101,392,866
WLCR102,270,678
WLCR103,484,996
WLCR104,125,215
WLCR105,298,572
WLCR106,330,880
WLCR107,81,249
WLCR108,135,343
WLCR109,151,232
WLCR110,288,580
WLCR111,288,627
WLCR112,223,509
WLCR113,200,642
WLCR114,91,226
WLCR115,203,352
WLCR116,171,328
WLCR117,404,688
WLCR118,161,244
WLCR119,283,635
WLCR120,277,743
WLCR121,270,745
WLCR122,182,449
WLCR123,140,603
WLCR124,114,426
WLCR125,306,575
WLCR126,230,759
WLCR127,256,615
WLCR129,287,757
WLCR130,234,378
WLCR131,206,480
WLCR132,361,429
WLCR133,257,610
WLCR134,309,498
WLCR135,247,750
WLCR136,118,281
WLCR137,294,785
WLCR138,317,504
WLCR139,304,522
WLCR140,333,543
WLCR141,342,581
WLCR142,277,703
WLCR143,204,554
WLCR144,173,579
WLCR801,80,119
WLCR802,0,2
WLCR803,21,37
WLCR804,56,142
WLCR805,0,0
WLKN101,311,602
WLKN102,233,409
WLKN103,157,370
WLKN801,58,96
CALD801,2,7
CONC135,353,405
