Precinct,ALEX PADILLA,MARK P. MEUSER
CONC150,529,229
CONC151,248,129
CONC152,465,215
CONC153,458,220
CONC154,303,148
CONC155,362,178
CONC156,421,266
CONC157,388,185
CONC158,465,182
CONC159,520,258
CONC160,321,261
CONC161,464,228
CONC163,374,117
CONC164,506,256
CONC165,357,94
CONC801,22,14
CONC802,3,2
CONC803,0,0
CONC804,10,10
CROC101,805,222
CROC102,404,114
CROC801,0,1
DANV101,276,296
DANV102,189,239
DANV103,413,282
DANV104,568,414
DANV105,523,450
DANV106,494,398
DANV107,610,386
DANV108,536,450
DANV109,339,238
DANV110,217,155
DANV111,328,174
DANV112,501,349
DANV113,392,224
DANV114,518,365
DANV115,337,325
DANV116,296,179
DANV117,476,283
DANV118,466,269
DANV119,678,495
DANV120,568,369
DANV121,284,241
DANV122,344,308
DANV123,374,316
DANV124,313,179
DANV125,235,135
DANV126,693,370
DANV127,374,254
DANV128,302,235
DANV129,519,407
DANV130,336,275
DBAY101,619,476
DBAY102,423,490
DBAY103,187,316
DBAY104,349,584
DBAY105,160,168
DBAY106,439,697
DBAY107,315,466
DBAY801,46,96
DIAB101,271,365
ELCR101,977,78
ELCR102,886,150
ELCR103,575,58
ELCR104,947,127
ELCR105,676,117
ELCR106,544,71
ELCR107,558,91
ELCR108,696,92
ELCR109,891,91
ELCR110,895,78
ELCR111,692,62
ELCR112,612,50
ELCR113,1042,84
ELCR114,560,46
ELCR115,462,70
ELSO101,593,138
ELSO102,655,139
ELSO103,408,120
ELSO104,505,158
ELSO105,650,200
ELSO106,547,111
ELSO107,288,57
ELSO801,2,0
ELSO802,102,46
ELSO803,10,5
ERIC101,844,92
ERIC102,913,77
ERIC103,324,48
ERIC801,37,5
FAIR801,0,1
GIAN101,420,70
GIAN102,319,96
GIAN103,492,165
GIAN104,583,192
GIAN105,397,68
HERC101,734,195
HERC102,796,186
HERC103,407,73
HERC104,533,149
HERC105,358,120
HERC106,511,150
HERC107,638,122
HERC108,485,129
HERC109,647,112
HERC110,436,125
HERC111,457,144
HERC113,662,156
HERC114,469,110
KENS101,519,66
KENS102,677,58
KENS103,1015,85
KENS104,833,74
KENS801,0,1
KENS802,1,0
KNGT101,227,364
KNGT801,18,18
KNGT802,3,5
KNGT803,34,31
KNGT804,45,22
LAST801,16,28
LFET101,605,350
LFET102,474,267
LFET103,502,203
LFET104,603,194
LFET105,489,224
LFET106,485,187
LFET107,759,233
LFET108,833,213
LFET109,868,264
LFET110,453,145
LFET111,551,204
LFET112,221,115
LFET113,550,216
LFET114,509,221
LFET115,458,215
LFET116,641,325
LFET117,796,290
MARC801,64,95
MARC802,7,13
MARC803,8,13
MART101,352,95
MART103,237,75
MART104,597,208
MART106,287,85
MART107,467,265
MART108,512,246
MART109,509,195
MART110,336,136
MART111,677,342
MART112,455,157
MART114,312,136
MART115,404,201
MART116,272,109
MART117,287,169
MART118,393,214
MART120,597,194
MART125,390,120
MART126 0,230,119
MART801,1,0
MART802,77,83
MART803,32,21
MART804,98,39
MART805,86,31
MART806 0,66,24
MART807 0,47,12
MART808 0,101,28
MART809 0,4,3
MART810 0,61,23
MART811 0,83,24
MART812 0,23,3
MART813 0,89,25
MART814 0,6,0
MART815 0,50,37
MART816 0,23,5
MART817 0,27,8
MART818 0,100,45
MART819 0,17,11
MART820 0,59,27
MART821 0,78,61
MART822 0,106,49
MART823 0,15,6
MART824 0,13,4
MART825 0,12,8
MART826 0,71,58
MART827 0,0,0
MART828 0,16,11
MART829 0,2,2
MART830 0,122,26
MART831 0,159,67
MART832 0,177,59
MART833 0,155,32
MART834 0,193,108
MART835 0,164,62
MART836 0,157,70
MART837 0,99,24
MART838 0,58,13
MART839 0,157,72
MART840 0,149,50
MART841 0,202,55
MART842 0,142,92
MART843 0,122,82
MART844 0,165,83
MART845 0,10,0
MART846 0,237,102
MART847 0,213,101
MART848 0,91,43
MART849 0,127,73
MART850 0,219,105
MDIA101,192,141
MDIA801,4,2
MDIA802,2,2
MORG101,896,325
MORG102,562,195
MORG103,694,344
MORG104,754,387
MORG105,745,329
MORG106,697,350
MORG107,780,428
MORG108,544,267
MVIE101,276,134
MVIE102,319,164
MVIE801 0,0,0
MVIE802 0,4,2
NCYN101,254,183
NICH801,3,3
NRIC101,491,56
NRTV801,2,5
NRTV802,2,8
OKLY101,330,250
OKLY102,376,268
OKLY103,401,282
OKLY104,666,293
OKLY105,387,245
OKLY106,422,382
OKLY107,250,153
OKLY108,311,186
OKLY109,313,157
OKLY110,339,311
OKLY111,255,226
OKLY112,259,220
OKLY113,593,349
OKLY114,402,353
OKLY115,392,219
OKLY116,460,332
OKLY117,291,217
OKLY118,227,125
OKLY119,247,156
OKLY801,1,2
OLEU801,4,4
OLEU802,8,8
ORDA101,985,294
ORDA102,432,144
ORDA103,570,260
ORDA104,350,136
ORDA105,695,273
ORDA106,818,275
ORDA107,817,275
ORDA108,718,339
ORDA109,453,258
ORDA110,264,116
ORDA111,855,247
ORDA112,560,265
ORDA113,269,81
ORDA801,3,0
PACH101,637,275
PACH102,324,178
PACH801,0,3
PACH802,59,28
PACH803,0,2
PINL102,465,117
PINL103,533,102
PINL104,386,118
PINL105,576,131
PINL106,435,123
PINL107,399,106
PINL108,564,166
PINL109,360,116
PINL110,615,216
PINL111,583,179
PINL112,586,235
PINL801,9,7
PINL802,117,50
PINL803,44,9
PLHL101,515,176
PLHL102,404,165
PLHL103,413,166
PLHL104,757,365
PLHL105,474,203
PLHL106,666,272
PLHL107,620,285
PLHL108,659,292
PLHL109,638,205
PLHL110,553,251
PLHL111,564,271
PLHL112,467,160
PLHL113,636,210
PLHL114,701,269
PLHL115,690,242
PLHL116,504,188
PLHL117,563,178
PLHL118,499,173
PLHL119,513,190
PRCO801,92,31
PTTS101,506,195
PTTS102,380,158
PTTS103,393,119
PTTS104,478,141
PTTS105,202,81
PTTS106,430,141
PTTS107,491,172
PTTS108,531,85
PTTS109,398,90
PTTS110,423,93
PTTS111,392,160
PTTS112,398,101
PTTS113,365,82
PTTS114,478,142
PTTS115,501,160
PTTS116,334,129
PTTS117,297,138
PTTS118,393,125
PTTS119,344,112
PTTS120,300,109
PTTS121,315,82
PTTS122,319,79
PTTS123,266,53
PTTS124,295,49
PTTS125,467,92
PTTS126,400,74
PTTS127,323,64
PTTS128,502,97
PTTS129,628,140
PTTS130,336,101
PTTS131,398,114
PTTS132,509,181
PTTS133,355,103
PTTS134,376,89
PTTS135,328,81
PTTS801,3,1
PTTS802,0,0
RICH101,735,88
RICH102,446,53
RICH103,572,108
RICH104,848,95
RICH105,970,110
RICH106,693,76
RICH107,162,24
RICH108,651,66
RICH109,313,33
RICH110,437,41
RICH111,312,31
RICH112,457,53
RICH113,596,70
RICH114,541,49
RICH115,478,38
RICH116,263,20
RICH117,421,42
RICH118,498,53
RICH119,379,34
RICH120,318,31
RICH121,175,12
RICH122,761,103
RICH123,800,77
RICH124,466,58
RICH125,509,68
RICH126,450,72
RICH127,425,56
RICH128,551,66
RICH129,383,26
RICH130,395,40
RICH131,392,75
RICH132,489,95
RICH133,481,45
RICH134,359,41
RICH135,418,42
RICH136,369,28
RICH137,511,87
RICH138,330,114
RICH139,790,151
RICH140,322,63
RICH141,484,108
RICH142,814,178
RICH143,821,86
RICH144,698,90
RICH145,877,87
RICH146,173,5
RICH147,375,36
RICH148,112,16
RICH149,255,25
RICH150,289,31
RICH151,344,57
RICH152,332,40
RICH153,302,29
RICH154,436,40
RICH155,430,47
RICH156,346,69
RICH801,18,6
RICH802,35,0
RICH803,128,37
RICH804,106,26
RICH805,75,3
RICH806,102,23
RICH807,0,0
RODO101,439,161
RODO102,538,157
RODO103,583,214
RODO104,498,133
ROLL101,558,79
SARA101,369,112
SARA102,702,182
SARA103,660,217
SARA105,365,148
SARA106,464,192
SARA801,2,0
SARA802,111,46
SHEL101,99,60
SHEL102,270,91
SPAB101,762,70
SPAB102,317,38
SPAB103,359,58
SPAB104,458,70
SPAB105,345,52
SPAB106,677,99
SPAB107,512,91
SPAB108,448,51
SPAB109,401,43
SPAB110,521,88
SRAM101,437,207
SRAM102,568,241
SRAM103,463,330
SRAM104,484,274
SRAM105,387,201
SRAM106,508,279
SRAM107,476,298
SRAM108,574,242
SRAM109,497,267
SRAM110,443,289
SRAM111,662,344
SRAM112,526,316
SRAM113,446,274
SRAM114,331,228
SRAM115,561,318
SRAM116,438,255
SRAM117,675,345
SRAM118,385,210
SRAM119,395,150
SRAM120,457,328
SRAM121,219,169
SRAM122,492,161
SRAM123,628,192
SRAM124,325,99
SRAM125,397,243
SRAM126,417,204
SRAM127,225,74
SRAM128,627,262
SRAM129,299,208
SRAM130,366,195
SRAM131,381,126
SRAM132,449,211
SRAM133,574,206
SRAM134,430,139
SRAM135,387,104
SRAM136,310,188
SRAM137,522,182
SRAM138,354,147
SRAM139,322,152
SRAM140,374,137
SRAM141,385,205
SRAM142,362,115
SRAM801,0,0
STMY801,70,57
TASJ101,94,137
TASJ801,0,1
TASJ802,57,67
TASJ803,13,23
TASJ804,68,20
TESO801,0,0
VIER801,2,9
VINE101,471,245
VINE102,261,120
VINE801,52,51
VINE802,57,28
VINE803 0,13,5
WALD101,498,168
WALD102,854,263
WALD103,472,123
WALD801,71,14
WLCR101,852,363
WLCR102,688,239
WLCR103,980,471
WLCR104,218,104
WLCR105,550,290
WLCR106,865,313
WLCR107,250,74
WLCR108,340,129
WLCR109,229,142
WLCR110,585,264
WLCR111,648,247
WLCR112,505,208
WLCR113,655,188
WLCR114,228,76
WLCR115,365,171
WLCR116,322,167
WLCR117,696,375
WLCR118,251,145
WLCR119,650,250
WLCR120,732,265
WLCR121,725,270
WLCR122,434,176
WLCR123,591,138
WLCR124,418,107
WLCR125,564,282
WLCR126,745,212
WLCR127,600,244
WLCR129,739,277
WLCR130,386,209
WLCR131,484,183
WLCR132,439,325
WLCR133,609,226
WLCR134,501,277
WLCR135,748,236
WLCR136,280,107
WLCR137,761,278
WLCR138,519,295
WLCR139,518,281
WLCR140,569,295
WLCR141,586,308
WLCR142,729,232
WLCR143,541,200
WLCR144,577,160
WLCR801,116,78
WLCR802,2,0
WLCR803,36,22
WLCR804,133,62
WLCR805,0,0
WLKN101,600,289
WLKN102,406,219
WLKN103,364,152
WLKN801,92,54
CALD801,6,3
CONC135,414,319
