Precinct,MARSHALL TUCK,TONY K. THURMOND
HERC109,223,495
HERC110,209,321
HERC111,240,348
HERC113,254,532
HERC114,190,375
KENS101,158,403
KENS102,150,539
KENS103,226,791
KENS104,233,611
KENS801,0,0
KENS802,0,1
KNGT101,354,181
KNGT801,22,8
KNGT802,3,3
KNGT803,31,30
KNGT804,28,25
LAST801,25,16
LFET101,476,392
LFET102,382,295
LFET103,300,353
LFET104,306,428
LFET105,341,332
LFET106,254,337
LFET107,371,535
LFET108,314,617
LFET109,439,576
LFET110,236,326
LFET111,284,413
LFET112,171,138
LFET113,322,398
LFET114,322,328
LFET115,294,321
LFET116,468,429
LFET117,463,554
MARC801,97,59
MARC802,6,8
MARC803,9,6
MART101,153,261
MART103,116,174
MART104,254,488
MART106,130,225
MART107,307,396
MART108,308,407
MART109,265,395
MART110,158,292
MART111,410,555
MART112,236,336
MART114,155,269
MART115,228,331
MART116,146,205
MART117,181,249
MART118,226,342
MART120,288,455
MART125,182,301
MART126 0,124,195
MART801,2,0
MART802,85,60
MART803,32,15
MART804,51,85
MART805,42,63
MART806 0,34,56
MART807 0,19,35
MART808 0,38,86
MART809 0,2,2
MART810 0,27,52
MART811 0,43,58
MART812 0,4,19
MART813 0,45,60
MART814 0,0,4
MART815 0,36,51
MART816 0,11,15
MART817 0,11,22
MART818 0,52,86
MART819 0,11,16
MART820 0,27,52
MART821 0,64,66
MART822 0,57,87
MART823 0,8,13
MART824 0,9,10
MART825 0,9,7
MART826 0,52,67
MART827 0,0,0
MART828 0,14,12
MART829 0,1,1
MART830 0,41,98
MART831 0,77,141
MART832 0,93,131
MART833 0,61,128
MART834 0,125,161
MART835 0,78,132
MART836 0,82,123
MART837 0,49,63
MART838 0,29,44
MART839 0,97,116
MART840 0,66,119
MART841 0,85,159
MART842 0,94,129
MART843 0,108,88
MART844 0,95,139
MART845 0,4,6
MART846 0,140,182
MART847 0,116,174
MART848 0,52,70
MART849 0,95,97
MART850 0,142,167
MDIA101,173,127
MDIA801,2,3
MDIA802,0,4
MORG101,526,602
MORG102,258,425
MORG103,449,482
MORG104,529,546
MORG105,501,494
MORG106,498,471
MORG107,554,574
MORG108,365,390
MVIE101,173,214
MVIE102,187,266
MVIE801 0,0,0
MVIE802 0,2,4
NCYN101,228,182
NICH801,4,1
NRIC101,189,355
NRTV801,4,3
NRTV802,8,2
OKLY101,314,235
OKLY102,293,316
OKLY103,324,320
OKLY104,370,533
OKLY105,251,332
OKLY106,379,377
OKLY107,198,197
OKLY108,208,266
OKLY109,203,242
OKLY110,318,288
OKLY111,247,191
OKLY112,233,217
OKLY113,395,496
OKLY114,349,335
OKLY115,264,303
OKLY116,357,379
OKLY117,259,218
OKLY118,164,173
OKLY119,174,191
OKLY801,2,1
OLEU801,4,3
OLEU802,8,8
ORDA101,487,670
ORDA102,234,275
ORDA103,385,383
ORDA104,254,211
ORDA105,445,459
ORDA106,431,592
ORDA107,481,538
ORDA108,476,465
ORDA109,388,265
ORDA110,190,152
ORDA111,387,600
ORDA112,415,334
ORDA113,131,185
ORDA801,1,2
PACH101,332,515
PACH102,200,270
PACH801,3,0
PACH802,45,34
PACH803,2,0
PINL102,200,362
PINL103,179,433
PINL104,190,301
PINL105,224,475
PINL106,207,334
PINL107,190,291
PINL108,270,447
PINL109,174,279
PINL110,332,460
PINL111,265,479
PINL112,298,501
PINL801,6,9
PINL802,57,101
PINL803,19,35
PLHL101,242,391
PLHL102,187,324
PLHL103,231,306
PLHL104,420,598
PLHL105,247,362
PLHL106,363,511
PLHL107,343,468
PLHL108,351,531
PLHL109,286,513
PLHL110,330,410
PLHL111,334,442
PLHL112,211,380
PLHL113,304,469
PLHL114,344,553
PLHL115,317,554
PLHL116,251,389
PLHL117,246,449
PLHL118,252,379
PLHL119,220,419
PRCO801,38,72
PTTS101,259,402
PTTS102,211,293
PTTS103,204,282
PTTS104,211,371
PTTS105,121,153
PTTS106,226,317
PTTS107,275,371
PTTS108,193,387
PTTS109,169,306
PTTS110,194,310
PTTS111,214,308
PTTS112,191,292
PTTS113,164,273
PTTS114,242,357
PTTS115,269,369
PTTS116,179,260
PTTS117,173,243
PTTS118,214,289
PTTS119,158,269
PTTS120,159,230
PTTS121,158,224
PTTS122,161,220
PTTS123,117,194
PTTS124,112,222
PTTS125,190,364
PTTS126,149,293
PTTS127,123,252
PTTS128,208,365
PTTS129,237,498
PTTS130,185,236
PTTS131,190,305
PTTS132,274,377
PTTS133,179,247
PTTS134,176,264
PTTS135,144,248
PTTS801,1,2
PTTS802,0,0
RICH101,200,572
RICH102,124,352
RICH103,210,422
RICH104,234,652
