Precinct,DIANNE FEINSTEIN,KEVIN DE LEON
DANV104,498,371
DANV105,502,358
DANV106,433,372
DANV107,545,378
DANV108,520,383
DANV109,315,209
DANV110,165,179
DANV111,276,180
DANV112,449,343
DANV113,320,251
DANV114,467,341
DANV115,327,263
DANV116,255,197
DANV117,400,314
DANV118,389,303
DANV119,593,475
DANV120,499,373
DANV121,281,190
DANV122,339,238
DANV123,341,278
DANV124,272,169
DANV125,204,136
DANV126,527,482
DANV127,341,239
DANV128,278,202
DANV129,439,368
DANV130,295,252
DBAY101,500,467
DBAY102,339,477
DBAY103,171,289
DBAY104,318,500
DBAY105,124,173
DBAY106,425,574
DBAY107,313,327
DBAY801,41,67
DIAB101,261,267
ELCR101,692,380
ELCR102,677,347
ELCR103,374,259
ELCR104,667,391
ELCR105,509,267
ELCR106,404,197
ELCR107,395,230
ELCR108,507,268
ELCR109,639,347
ELCR110,589,381
ELCR111,460,309
ELCR112,380,289
ELCR113,734,401
ELCR114,402,213
ELCR115,270,250
ELSO101,455,250
ELSO102,453,329
ELSO103,272,236
ELSO104,358,278
ELSO105,485,331
ELSO106,409,227
ELSO107,213,117
ELSO801,2,0
ELSO802,77,60
ELSO803,5,7
ERIC101,546,392
ERIC102,606,384
ERIC103,221,149
ERIC801,28,13
FAIR801,0,1
GIAN101,246,244
GIAN102,218,172
GIAN103,349,276
GIAN104,426,303
GIAN105,302,141
HERC101,544,353
HERC102,607,335
HERC103,326,153
HERC104,415,252
HERC105,278,176
HERC106,405,228
HERC107,506,218
HERC108,398,184
HERC109,489,246
HERC110,367,169
HERC111,380,206
HERC113,516,275
HERC114,371,176
KENS101,393,186
KENS102,472,260
KENS103,689,407
KENS104,614,283
KENS801,0,0
KENS802,1,0
KNGT101,243,272
KNGT801,9,26
KNGT802,2,5
KNGT803,28,35
KNGT804,31,32
LAST801,17,20
LFET101,576,319
LFET102,460,242
LFET103,400,254
LFET104,478,283
LFET105,443,225
LFET106,376,264
LFET107,622,327
LFET108,599,396
LFET109,682,402
LFET110,365,197
LFET111,466,258
LFET112,215,102
LFET113,456,272
LFET114,440,244
LFET115,388,247
LFET116,599,319
LFET117,675,359
MARC801,47,82
MARC802,5,8
MARC803,8,6
MART101,280,156
MART103,179,121
MART104,428,333
MART106,199,158
MART107,342,339
MART108,407,298
MART109,355,312
MART110,272,183
MART111,516,442
MART112,317,249
MART114,227,193
MART115,288,277
MART116,217,146
MART117,221,189
MART118,326,234
MART120,423,317
MART125,242,250
MART126 0,179,155
MART801,2,0
MART802,84,54
MART803,23,26
MART804,72,63
MART805,61,50
MART806 0,58,30
MART807 0,38,22
MART808 0,68,51
MART809 0,2,5
MART810 0,47,32
MART811 0,50,48
MART812 0,15,8
MART813 0,56,48
MART814 0,3,3
MART815 0,40,38
MART816 0,17,13
MART817 0,18,14
MART818 0,74,62
