Precinct,ED HERNANDEZ,ELENI KOUNALAKIS
OKLY801,1,2
OLEU801,0,5
OLEU802,6,6
ORDA101,409,744
ORDA102,167,353
ORDA103,268,466
ORDA104,117,293
ORDA105,281,560
ORDA106,338,632
ORDA107,335,650
ORDA108,296,632
ORDA109,218,404
ORDA110,112,213
ORDA111,350,652
ORDA112,260,463
ORDA113,121,208
ORDA801,1,2
PACH101,301,518
PACH102,186,262
PACH801,0,3
PACH802,38,44
PACH803,2,0
PINL102,259,282
PINL103,245,353
PINL104,204,264
PINL105,252,415
PINL106,211,299
PINL107,183,284
PINL108,295,382
PINL109,175,255
PINL110,324,437
PINL111,314,388
PINL112,301,417
PINL801,5,8
PINL802,67,90
PINL803,15,37
PLHL101,238,407
PLHL102,196,322
PLHL103,193,335
PLHL104,374,617
PLHL105,207,399
PLHL106,251,578
PLHL107,255,552
PLHL108,315,534
PLHL109,277,509
PLHL110,253,462
PLHL111,272,482
PLHL112,213,359
PLHL113,278,480
PLHL114,282,588
PLHL115,279,575
PLHL116,205,426
PLHL117,239,442
PLHL118,220,389
PLHL119,226,405
PRCO801,31,79
PTTS101,248,396
PTTS102,170,323
PTTS103,203,280
PTTS104,227,341
PTTS105,112,152
PTTS106,245,278
PTTS107,266,357
PTTS108,256,333
PTTS109,215,259
PTTS110,228,255
PTTS111,183,327
PTTS112,220,251
PTTS113,207,229
PTTS114,259,323
PTTS115,296,322
PTTS116,187,243
PTTS117,175,230
PTTS118,183,302
PTTS119,181,243
PTTS120,158,209
PTTS121,177,203
PTTS122,211,170
PTTS123,140,174
PTTS124,142,192
PTTS125,229,311
PTTS126,191,257
PTTS127,125,236
PTTS128,274,305
PTTS129,242,506
PTTS130,206,212
PTTS131,204,285
PTTS132,287,357
PTTS133,158,265
PTTS134,198,244
PTTS135,167,216
PTTS801,2,2
PTTS802,0,0
RICH101,252,525
RICH102,156,311
RICH103,216,405
RICH104,323,570
RICH105,377,675
RICH106,303,441
RICH107,68,111
RICH108,264,417
RICH109,136,204
RICH110,197,262
RICH111,147,188
RICH112,216,287
RICH113,311,344
RICH114,258,329
RICH115,236,270
RICH116,120,158
RICH117,211,246
RICH118,269,260
RICH119,217,188
RICH120,167,177
RICH121,103,77
RICH122,363,461
RICH123,393,466
RICH124,184,307
RICH125,254,297
RICH126,230,264
RICH127,238,235
RICH128,311,296
RICH129,226,174
RICH130,214,205
RICH131,201,255
RICH132,245,310
RICH133,184,324
RICH134,167,224
RICH135,159,289
RICH136,146,247
RICH137,209,358
RICH138,168,233
RICH139,387,510
RICH140,129,236
RICH141,203,334
RICH142,369,557
RICH143,394,485
RICH144,270,476
RICH145,364,549
RICH146,99,80
RICH147,178,228
RICH148,63,60
RICH149,135,141
RICH150,190,126
RICH151,188,199
RICH152,228,137
RICH153,140,181
RICH154,176,289
RICH155,202,264
RICH156,149,241
RICH801,9,13
RICH802,10,24
RICH803,59,95
RICH804,51,70
RICH805,29,43
RICH806,42,67
RICH807,0,0
RODO101,246,303
RODO102,282,369
RODO103,303,437
RODO104,245,346
ROLL101,320,284
SARA101,145,299
SARA102,258,561
SARA103,257,557
SARA105,155,311
SARA106,214,383
SARA801,2,0
SARA802,46,87
SHEL101,41,102
SHEL102,111,221
SPAB101,516,302
SPAB102,210,137
SPAB103,196,217
SPAB104,215,285
