Precinct,MALIA COHEN,MARK BURNS
WLCR121,707,253
WLCR122,404,176
WLCR123,588,128
WLCR124,418,102
WLCR125,524,300
WLCR126,721,208
WLCR127,573,238
WLCR129,711,279
WLCR130,347,231
WLCR131,449,190
WLCR132,392,343
WLCR133,592,229
WLCR134,445,304
WLCR135,732,232
WLCR136,259,114
WLCR137,723,294
WLCR138,483,303
WLCR139,478,289
WLCR140,510,320
WLCR141,565,309
WLCR142,678,253
WLCR143,534,188
WLCR144,557,152
WLCR801,115,70
WLCR802,2,0
WLCR803,36,21
WLCR804,132,55
WLCR805,0,0
WLKN101,557,284
WLKN102,394,211
WLKN103,343,158
WLKN801,82,65
CALD801,9,0
CONC135,395,316
