Precinct,STEVEN C BAILEY,XAVIER BECERRA
BREN128,526,710
BREN129,163,192
BREN130,275,358
BREN131,161,268
BREN132,208,252
BREN133,251,261
BREN801,1,3
BREN802,27,36
BRHL101,229,307
BRHL102,197,351
BRHL103,245,512
BRHL801,0,0
BRVL101,176,143
BRVL801,85,82
BYRN101,185,122
BYRN801,85,27
BYRN802,27,16
BYRN803,2,0
CANY801,10,143
CASR101,154,221
CLAY101,364,488
CLAY102,442,473
CLAY103,245,320
CLAY104,361,381
CLAY105,429,565
CLAY106,370,326
CLAY107,474,575
CLYD101,119,187
CONC101,104,270
CONC102,146,434
CONC103,184,460
CONC104,220,399
CONC105,228,426
CONC106,150,436
CONC107,222,534
CONC108,159,474
CONC109,227,498
CONC110,162,464
CONC111,224,422
CONC112,232,401
CONC113,234,484
CONC114,244,383
CONC115,359,590
CONC116,163,542
CONC117,168,483
CONC118,163,694
CONC119,164,473
CONC120,225,493
CONC121,235,422
CONC122,212,372
CONC123,222,537
CONC124,294,540
CONC125,202,433
CONC126,355,555
CONC127,221,257
CONC128,309,556
CONC129,250,336
CONC130,132,245
CONC131,162,389
CONC132,172,332
CONC133,239,411
CONC134,217,437
CONC136,354,683
CONC137,128,383
CONC138,227,456
CONC139,154,412
CONC140,208,317
CONC141,189,367
CONC142,216,358
CONC143,282,592
CONC144,265,608
CONC145,123,426
CONC146,147,421
CONC147,252,396
CONC148,280,622
CONC149,235,430
CONC150,245,505
CONC151,133,242
CONC152,219,460
CONC153,238,428
CONC154,146,303
CONC155,192,343
CONC156,276,420
CONC157,206,369
CONC158,195,453
CONC159,289,494
CONC160,272,303
CONC161,243,440
CONC163,119,362
CONC164,282,472
CONC165,88,356
CONC801,14,21
CONC802,3,1
CONC803,0,0
CONC804,11,9
CROC101,249,779
CROC102,128,393
CROC801,1,0
DANV101,312,257
DANV102,237,190
DANV103,287,409
DANV104,429,539
DANV105,456,512
DANV106,409,477
DANV107,395,590
DANV108,461,510
DANV109,237,333
DANV110,173,207
DANV111,182,314
DANV112,359,489
DANV113,229,382
DANV114,376,496
DANV115,342,318
DANV116,192,279
DANV117,286,484
DANV118,285,441
DANV119,510,656
DANV120,388,537
DANV121,238,279
DANV122,319,337
DANV123,320,369
DANV124,186,304
DANV125,144,214
DANV126,398,653
DANV127,261,361
DANV128,240,290
DANV129,433,491
DANV130,285,321
DBAY101,526,574
DBAY102,503,412
DBAY103,315,190
DBAY104,601,331
DBAY105,181,147
DBAY106,699,428
DBAY107,484,297
DBAY801,94,43
DIAB101,386,240
ELCR101,83,987
ELCR102,152,906
ELCR103,69,574
ELCR104,125,941
ELCR105,122,667
ELCR106,64,541
ELCR107,102,545
ELCR108,97,687
ELCR109,94,897
ELCR110,87,890
ELCR111,62,701
ELCR112,48,622
ELCR113,95,1030
ELCR114,53,560
ELCR115,71,465
ELSO101,136,593
ELSO102,152,650
ELSO103,123,408
ELSO104,150,519
ELSO105,235,618
ELSO106,118,545
ELSO107,65,282
ELSO801,0,2
ELSO802,47,96
ELSO803,5,10
ERIC101,99,845
ERIC102,84,917
ERIC103,55,319
ERIC801,4,38
FAIR801,1,0
GIAN101,80,421
GIAN102,96,304
GIAN103,176,474
GIAN104,211,557
GIAN105,70,387
HERC101,229,714
HERC102,199,774
HERC103,73,411
HERC104,167,513
HERC105,124,360
HERC106,169,487
HERC107,132,618
HERC108,150,451
HERC109,130,627
HERC110,134,424
HERC111,154,452
HERC113,185,633
HERC114,112,467
KENS101,67,518
KENS102,65,666
KENS103,92,1007
KENS104,78,832
KENS801,1,0
KENS802,0,1
KNGT101,380,214
KNGT801,21,15
KNGT802,5,3
KNGT803,36,32
KNGT804,23,40
LAST801,26,16
LFET101,360,575
LFET102,284,453
LFET103,214,497
LFET104,217,588
LFET105,233,482
LFET106,189,479
LFET107,248,737
LFET108,211,839
LFET109,271,850
LFET110,164,439
LFET111,216,534
LFET112,125,209
LFET113,236,535
LFET114,227,492
LFET115,223,445
LFET116,359,616
LFET117,331,748
MARC801,99,58
MARC802,14,7
MARC803,14,7
MART101,91,358
MART103,85,228
MART104,210,591
MART106,92,279
MART107,276,457
MART108,285,474
MART109,208,489
MART110,149,327
MART111,365,651
MART112,175,441
MART114,159,289
MART115,215,393
MART116,121,266
MART117,174,287
MART118,213,387
MART120,205,575
MART125,132,376
MART126 0,118,223
MART801,0,1
MART802,89,75
MART803,23,28
MART804,38,96
MART805,37,76
MART806 0,26,68
MART807 0,11,50
MART808 0,29,100
MART809 0,2,5
MART810 0,22,58
MART811 0,23,83
MART812 0,4,21
MART813 0,29,86
MART814 0,0,6
MART815 0,37,50
MART816 0,5,26
MART817 0,10,25
MART818 0,49,93
MART819 0,13,16
MART820 0,25,61
MART821 0,65,74
MART822 0,56,101
MART823 0,8,14
MART824 0,7,12
MART825 0,9,10
MART826 0,61,74
MART827 0,0,0
MART828 0,8,19
MART829 0,2,1
MART830 0,30,111
MART831 0,63,159
MART832 0,61,176
MART833 0,27,163
MART834 0,115,185
MART835 0,64,159
MART836 0,73,153
MART837 0,26,92
MART838 0,16,57
MART839 0,75,156
MART840 0,50,145
MART841 0,59,203
MART842 0,91,142
MART843 0,83,124
MART844 0,88,161
MART845 0,0,9
MART846 0,110,233
MART847 0,103,202
MART848 0,43,91
MART849 0,78,123
MART850 0,111,219
MDIA101,157,172
MDIA801,1,4
MDIA802,2,2
MORG101,340,866
MORG102,199,556
MORG103,356,670
MORG104,404,749
MORG105,337,740
MORG106,360,681
MORG107,437,778
MORG108,277,526
MVIE101,141,265
MVIE102,161,322
MVIE801 0,0,0
MVIE802 0,3,4
NCYN101,184,256
NICH801,3,3
NRIC101,69,471
NRTV801,5,2
NRTV802,8,2
OKLY101,267,310
OKLY102,272,365
OKLY103,293,395
OKLY104,290,666
OKLY105,246,387
OKLY106,394,396
OKLY107,154,243
OKLY108,187,302
OKLY109,176,293
OKLY110,322,335
OKLY111,244,250
OKLY112,232,254
OKLY113,356,592
OKLY114,376,384
OKLY115,242,373
OKLY116,345,444
OKLY117,215,286
OKLY118,131,218
OKLY119,172,238
OKLY801,2,1
OLEU801,4,4
OLEU802,8,7
ORDA101,312,977
ORDA102,163,413
ORDA103,274,557
ORDA104,154,340
ORDA105,289,675
ORDA106,293,809
ORDA107,301,794
ORDA108,354,706
ORDA109,265,431
ORDA110,126,257
ORDA111,251,862
ORDA112,282,546
ORDA113,93,254
ORDA801,0,3
PACH101,297,604
PACH102,176,311
PACH801,3,0
PACH802,31,56
PACH803,2,0
PINL102,132,454
PINL103,111,522
PINL104,134,371
PINL105,142,557
PINL106,131,423
PINL107,123,374
PINL108,180,554
PINL109,117,358
PINL110,231,600
PINL111,203,563
PINL112,267,560
PINL801,8,9
PINL802,51,113
PINL803,8,47
PLHL101,173,520
PLHL102,159,401
PLHL103,182,392
PLHL104,355,745
PLHL105,208,453
PLHL106,286,649
PLHL107,288,605
PLHL108,311,644
PLHL109,197,647
PLHL110,275,520
PLHL111,285,552
PLHL112,171,447
PLHL113,216,624
PLHL114,282,685
PLHL115,251,685
PLHL116,190,492
PLHL117,177,557
PLHL118,177,489
PLHL119,188,509
PRCO801,30,92
PTTS101,199,503
PTTS102,152,380
PTTS103,123,380
PTTS104,155,461
PTTS105,81,203
PTTS106,166,406
PTTS107,187,483
PTTS108,99,505
PTTS109,85,406
PTTS110,101,413
PTTS111,170,381
PTTS112,107,391
PTTS113,82,365
PTTS114,159,465
PTTS115,179,474
PTTS116,124,326
PTTS117,138,286
PTTS118,144,375
PTTS119,132,323
PTTS120,110,304
PTTS121,83,313
PTTS122,64,331
PTTS123,60,262
PTTS124,43,304
PTTS125,77,487
PTTS126,69,404
PTTS127,66,322
PTTS128,105,491
PTTS129,149,608
PTTS130,108,328
PTTS131,114,401
PTTS132,180,506
PTTS133,106,354
PTTS134,100,361
PTTS135,77,328
PTTS801,1,2
PTTS802,0,0
RICH101,95,724
RICH102,61,439
RICH103,113,572
RICH104,100,856
RICH105,122,950
RICH106,87,686
RICH107,23,160
RICH108,72,648
RICH109,32,311
RICH110,44,433
RICH111,38,302
RICH112,56,454
RICH113,62,594
RICH114,53,532
RICH115,52,459
RICH116,27,252
RICH117,43,417
RICH118,58,484
RICH119,41,373
RICH120,33,314
RICH121,18,169
RICH122,100,750
RICH123,87,799
RICH124,64,461
RICH125,80,493
RICH126,76,448
RICH127,58,427
RICH128,68,547
RICH129,37,367
RICH130,45,386
RICH131,68,404
RICH132,107,476
RICH133,52,475
RICH134,39,349
RICH135,45,409
RICH136,28,364
RICH137,95,502
RICH138,114,326
