Precinct,JOHN FITZGERALD,MARK DESAULNIER
RICH120,46,298
RICH121,21,165
RICH122,111,744
RICH123,107,771
RICH124,69,459
RICH125,96,475
RICH126,72,447
RICH127,73,411
RICH128,91,524
RICH129,43,359
RICH130,51,374
RICH131,76,390
RICH132,107,480
RICH133,48,480
RICH134,40,353
RICH135,53,402
RICH136,29,365
RICH137,81,512
RICH138,123,321
RICH139,161,780
RICH140,60,319
RICH141,105,486
RICH142,178,815
RICH143,96,802
RICH144,98,678
RICH145,79,874
RICH146,16,162
RICH147,48,364
RICH148,29,98
RICH149,35,240
RICH150,51,268
RICH151,65,341
RICH152,56,309
RICH153,40,281
RICH154,50,434
RICH155,57,416
RICH156,63,350
RICH801,7,17
RICH802,3,33
RICH803,34,132
RICH804,26,104
RICH805,5,76
RICH806,24,99
RICH807,0,0
ROLL101,116,522
SARA101,99,382
SARA102,165,727
SARA103,192,681
SARA105,119,390
SARA106,176,470
SARA801,0,2
SARA802,45,112
SHEL101,56,103
SHEL102,79,289
SPAB101,103,719
SPAB102,48,305
SPAB103,67,351
SPAB104,81,446
SPAB105,61,326
SPAB106,109,658
SPAB107,111,498
SPAB108,72,422
SPAB109,59,372
SPAB110,105,497
SRAM801,0,0
STMY801,59,66
TASJ101,124,103
TASJ802,63,59
TASJ803,25,11
TESO801,0,0
WALD101,149,512
WALD102,234,862
WALD103,105,482
WALD801,10,76
WLCR101,299,915
WLCR102,203,726
WLCR103,412,1036
WLCR104,98,226
WLCR105,244,606
WLCR106,280,891
WLCR107,67,255
WLCR108,110,351
WLCR109,131,240
WLCR110,252,594
WLCR111,243,646
WLCR112,182,525
WLCR113,173,655
WLCR114,69,234
WLCR115,153,378
WLCR116,144,337
WLCR117,334,729
WLCR118,135,255
WLCR119,232,658
WLCR120,220,779
WLCR121,238,744
WLCR122,153,462
WLCR123,123,597
WLCR124,102,419
WLCR125,256,591
WLCR126,190,767
WLCR127,218,621
WLCR129,239,766
WLCR130,193,403
WLCR131,177,488
WLCR132,293,465
WLCR133,216,633
WLCR134,239,536
WLCR135,230,749
WLCR136,106,278
WLCR137,242,802
WLCR138,266,546
WLCR139,242,554
WLCR140,254,601
WLCR141,270,618
WLCR142,216,743
WLCR143,184,549
WLCR144,142,591
WLCR801,62,127
WLCR802,0,2
WLCR803,19,39
WLCR804,50,138
WLCR805,0,0
WLKN101,252,612
WLKN102,194,429
WLKN103,137,379
WLKN801,50,97
CALD801,2,7
CONC135,290,447
