Precinct,KONSTANTINOS RODITIS,BETTY T. YEE
ELCR109,75,918
ELCR110,63,915
ELCR111,44,721
ELCR112,42,630
ELCR113,82,1053
ELCR114,47,571
ELCR115,57,480
ELSO101,122,615
ELSO102,136,670
ELSO103,104,431
ELSO104,143,527
ELSO105,199,661
ELSO106,98,569
ELSO107,53,297
ELSO801,0,2
ELSO802,41,103
ELSO803,5,9
ERIC101,82,862
ERIC102,76,928
ERIC103,37,337
ERIC801,3,39
FAIR801,1,0
GIAN101,63,438
GIAN102,88,326
GIAN103,149,511
GIAN104,174,600
GIAN105,61,398
HERC101,179,768
HERC102,162,829
HERC103,58,432
HERC104,127,558
HERC105,108,381
HERC106,137,521
HERC107,114,650
HERC108,112,500
HERC109,107,669
HERC110,124,444
HERC111,116,502
HERC113,125,707
HERC114,93,490
KENS101,66,525
KENS102,57,688
KENS103,78,1027
KENS104,69,842
KENS801,1,0
KENS802,0,1
KNGT101,358,234
KNGT801,19,17
KNGT802,5,3
KNGT803,31,38
KNGT804,21,42
LAST801,26,16
LFET101,341,609
LFET102,265,474
LFET103,190,519
LFET104,191,614
LFET105,221,504
LFET106,173,493
LFET107,225,773
LFET108,209,847
LFET109,257,880
LFET110,145,463
LFET111,194,568
LFET112,109,225
LFET113,216,561
LFET114,217,503
LFET115,196,478
LFET116,329,645
LFET117,284,801
MARC801,94,63
MARC802,13,7
MARC803,13,8
MART101,72,374
MART103,70,241
MART104,189,608
MART106,84,287
MART107,248,489
MART108,252,508
MART109,188,517
MART110,122,357
MART111,334,686
MART112,150,467
MART114,125,326
MART115,187,415
MART116,99,287
MART117,159,298
MART118,190,420
MART120,179,610
MART125,111,397
MART126 0,106,236
MART801,0,1
MART802,84,81
MART803,21,31
MART804,39,99
MART805,32,84
MART806 0,22,73
MART807 0,11,50
MART808 0,30,100
MART809 0,3,4
MART810 0,22,59
MART811 0,24,81
MART812 0,5,20
MART813 0,28,86
MART814 0,0,6
MART815 0,32,56
MART816 0,5,25
MART817 0,6,29
MART818 0,40,101
MART819 0,10,19
MART820 0,25,61
MART821 0,51,86
MART822 0,48,110
MART823 0,8,14
MART824 0,5,12
MART825 0,8,11
MART826 0,63,72
MART827 0,0,0
MART828 0,9,18
MART829 0,2,1
MART830 0,27,120
MART831 0,63,159
MART832 0,59,182
MART833 0,29,162
MART834 0,93,204
MART835 0,61,163
MART836 0,64,163
MART837 0,19,101
MART838 0,17,58
MART839 0,71,160
MART840 0,46,151
MART841 0,56,206
MART842 0,88,146
MART843 0,81,125
MART844 0,75,172
MART845 0,0,10
MART846 0,104,241
MART847 0,92,219
MART848 0,36,97
MART849 0,69,133
MART850 0,100,230
MDIA101,136,198
MDIA801,2,4
MDIA802,1,3
MORG101,308,909
MORG102,194,565
MORG103,315,717
MORG104,372,781
MORG105,309,765
MORG106,329,718
MORG107,404,816
MORG108,255,560
MVIE101,124,286
MVIE102,147,340
MVIE801 0,0,0
MVIE802 0,2,5
NCYN101,179,263
NICH801,3,3
NRIC101,45,504
NRTV801,5,2
NRTV802,7,3
OKLY101,228,344
OKLY102,246,397
OKLY103,271,420
OKLY104,269,691
OKLY105,225,410
OKLY106,375,423
OKLY107,150,252
OKLY108,182,309
OKLY109,157,311
OKLY110,287,374
OKLY111,230,257
OKLY112,215,267
OKLY113,331,621
OKLY114,344,417
OKLY115,228,391
OKLY116,331,465
OKLY117,198,311
OKLY118,115,236
OKLY119,146,260
OKLY801,2,1
OLEU801,4,4
OLEU802,9,6
ORDA101,304,994
ORDA102,149,435
ORDA103,242,589
ORDA104,135,360
ORDA105,248,726
ORDA106,262,845
ORDA107,257,846
ORDA108,319,743
ORDA109,246,464
ORDA110,104,279
ORDA111,235,867
ORDA112,267,566
ORDA113,85,263
ORDA801,0,3
PACH101,264,644
PACH102,162,332
PACH801,3,0
PACH802,32,53
PACH803,2,0
PINL102,116,478
PINL103,91,546
PINL104,114,393
PINL105,111,602
PINL106,104,452
PINL107,92,410
PINL108,152,586
PINL109,101,379
PINL110,209,622
PINL111,170,600
PINL112,214,620
PINL801,5,12
PINL802,42,122
PINL803,6,49
PLHL101,147,548
PLHL102,154,408
PLHL103,164,416
PLHL104,337,767
PLHL105,198,473
PLHL106,275,667
PLHL107,257,638
PLHL108,289,661
PLHL109,181,663
PLHL110,249,548
PLHL111,265,574
PLHL112,145,479
PLHL113,200,643
PLHL114,253,718
PLHL115,217,713
PLHL116,175,505
PLHL117,170,565
PLHL118,167,502
PLHL119,173,525
PRCO801,29,93
PTTS101,182,526
PTTS102,141,398
PTTS103,105,406
PTTS104,119,497
PTTS105,64,221
PTTS106,132,444
PTTS107,158,514
PTTS108,69,542
PTTS109,74,425
PTTS110,78,438
PTTS111,150,399
PTTS112,93,405
PTTS113,70,376
PTTS114,137,490
PTTS115,152,505
PTTS116,105,357
PTTS117,121,307
PTTS118,115,407
PTTS119,114,345
PTTS120,101,308
PTTS121,57,340
PTTS122,59,342
PTTS123,41,285
PTTS124,46,302
PTTS125,59,509
PTTS126,49,423
PTTS127,50,341
PTTS128,97,499
PTTS129,130,642
PTTS130,98,340
PTTS131,95,426
PTTS132,149,535
PTTS133,94,367
PTTS134,78,378
PTTS135,70,335
PTTS801,1,2
PTTS802,0,0
RICH101,97,722
RICH102,51,454
RICH103,115,571
RICH104,93,869
RICH105,106,976
RICH106,59,724
RICH107,20,164
RICH108,47,687
RICH109,16,334
RICH110,38,444
RICH111,19,331
RICH112,28,487
RICH113,38,631
RICH114,23,572
RICH115,26,495
RICH116,17,266
RICH117,24,447
RICH118,47,491
RICH119,25,392
RICH120,29,320
RICH121,14,169
RICH122,74,794
RICH123,68,820
RICH124,50,477
RICH125,68,509
RICH126,61,464
RICH127,44,446
RICH128,61,565
RICH129,33,374
RICH130,26,416
RICH131,59,419
RICH132,90,506
RICH133,41,491
RICH134,35,365
RICH135,35,428
RICH136,18,384
RICH137,54,539
RICH138,100,346
RICH139,142,809
RICH140,57,334
RICH141,101,497
RICH142,160,834
RICH143,64,849
RICH144,74,726
RICH145,71,893
RICH146,6,179
RICH147,26,391
RICH148,19,111
RICH149,16,268
RICH150,30,288
RICH151,49,365
RICH152,29,339
RICH153,19,317
RICH154,45,442
RICH155,36,441
RICH156,52,369
RICH801,5,19
RICH802,1,35
RICH803,29,139
RICH804,21,112
RICH805,2,77
RICH806,21,105
RICH807,0,0
RODO101,145,462
RODO102,129,575
RODO103,188,587
RODO104,122,512
ROLL101,80,564
SARA101,111,365
SARA102,162,728
SARA103,209,672
SARA105,136,376
SARA106,182,474
SARA801,0,2
SARA802,52,112
SHEL101,61,103
SHEL102,83,280
SPAB101,71,761
SPAB102,32,324
SPAB103,54,369
SPAB104,56,479
SPAB105,47,346
SPAB106,76,706
SPAB107,92,520
SPAB108,55,445
SPAB109,40,397
SPAB110,66,544
SRAM101,198,439
SRAM102,243,556
SRAM103,314,477
SRAM104,272,488
SRAM105,181,402
SRAM106,269,516
SRAM107,280,484
SRAM108,230,587
SRAM109,254,511
SRAM110,271,451
SRAM111,335,669
SRAM112,309,548
SRAM113,274,449
SRAM114,226,329
SRAM115,287,587
SRAM116,227,466
SRAM117,342,681
SRAM118,192,400
SRAM119,136,413
SRAM120,306,475
SRAM121,171,221
SRAM122,149,504
SRAM123,171,640
SRAM124,90,340
SRAM125,235,411
SRAM126,185,436
SRAM127,62,236
SRAM128,232,651
SRAM129,199,300
SRAM130,189,378
SRAM131,114,382
SRAM132,199,460
SRAM133,191,592
SRAM134,149,415
SRAM135,110,375
SRAM136,171,322
SRAM137,170,543
SRAM138,119,376
SRAM139,128,349
SRAM140,109,406
SRAM141,181,409
SRAM142,110,373
SRAM801,0,0
STMY801,59,65
TASJ101,130,99
TASJ801,1,0
TASJ802,70,54
TASJ803,23,14
TASJ804,19,70
TESO801,0,0
VIER801,7,4
VINE101,238,474
VINE102,118,259
VINE801,42,59
VINE802,31,54
VINE803 0,5,14
WALD101,154,507
WALD102,224,885
WALD103,114,483
WALD801,10,74
WLCR101,342,875
WLCR102,223,709
WLCR103,422,1030
WLCR104,98,225
WLCR105,263,585
WLCR106,306,868
WLCR107,72,256
WLCR108,121,345
WLCR109,137,232
WLCR110,249,601
WLCR111,256,639
WLCR112,186,515
WLCR113,172,670
WLCR114,73,233
WLCR115,157,378
WLCR116,152,341
WLCR117,363,709
WLCR118,145,250
WLCR119,247,656
WLCR120,241,763
WLCR121,246,750
WLCR122,170,447
WLCR123,136,593
WLCR124,105,423
WLCR125,268,584
WLCR126,202,759
WLCR127,220,623
WLCR129,263,756
WLCR130,198,398
WLCR131,176,491
WLCR132,311,452
WLCR133,223,624
WLCR134,254,519
WLCR135,231,758
WLCR136,111,279
WLCR137,263,780
WLCR138,284,526
